Song,Performer,Year,Decade,Lyrics
out of my bones,randy travis,1998,1990,"I'm in need of a remedy To cure me from loving you
It may sound a little extreme I'll do what I have to do
Chorus:
Bury your jacket in my backyard
Carry your picture in my shoe
Keep walking till the hurting stops
Keep walking till my temperature drops
Keep walking till the fever is gone
And you're out of my bones
I'm in need of a medicine
Something strong that'll work real fast
That I can take to fortify me
To keep my arm from taking you back
Chase that ghost out from under my bed
Still these voices in my head
They keep talking weaving their spell
But I'm talking to myself
I keep em talking to daylight to dawn
Till you're out of my bones
Sweet amnesia come and set me free
I just need to get you out of me"
all fall down,five star,1985,1980,"All fall down, all fall down
All fall down
I used to wake up at night
Feelin' so lonely
Before I knew you really loved me
I used to cry in my sleep
With tears on my pillow
I didn't think you wanted to know
But now you've change my world
I'm wondering how to keep myself from falling over
You're a special boy, my baby
And when you touch me
(All fall down)
Happy makes you feel that way
It's takin' me up to the highest
Love I've ever known
(All fall down)
I'm dizzy when I think of you
If ever a star was the brightest
You know that you can lead me home
I used to be so unsure
Afraid I'd discover
You want a friend but not a lover
But there's no fear in my mind
'Cause now we're together
Our love keeps growing bigger, be sure
I could jump for joy, you sweet thing
See me walk on air when people staring
They're looking at our mystery
And when, when you smile we
(All fall down)
Happy makes you feel that way
It's takin' me up to the highest
Love I've ever known
(All fall down)
I'm dizzy when I think of you
Wherever you go I'll follow
'Cause you can lead me home
You're makin' me dance, make me sing
Anything, as long as you are here with me
I've found I can't touch the ground
You know you've made my inhibitions
(All fall down)
(All fall down)
Happy makes you feel that way
It's takin' me up to the highest
Love I've ever known
(All fall down)
I'm dizzy when I think of you
If ever a star was the brightest
You know that you can lead me home
(All fall down)
Happy makes you feel that way
It's takin' me up to the highest
Love I've ever known
(All fall down)
I'm dizzy when I think of you
Wherever you go I'll follow"
ain't no future in yo' fronting,m.c. breed ,1991,1990,"Intro : (Flavor Flav)
To the beat Ya'll
Ah yeah
(Ya don't stop)
Sound good to me

This sound hard, somethin' funky people gon' dance to
Give the record a second and a chance to
Hittin' people like a scene of amazement
While they slippin' back, my feet is planted in the pavement
Crumble I can never do
So now I'm lookin' dead at you
What are you gonna do?
You listen to the knowledge of a scholar
You say ""How Breed?"" tell em how I holler
I'm the E Double, and I proclaim my name
Straight up good game, peeps all game
I'm like a rhino runnin' through the roughest pack
They figure I'm a trigga-happy nigga, so they step back
Breed, the microphonist
Boot last the longest
The noose's the strongest
It ain't a game, that's plain to see
You listen to the sounds of Breed (and the DFC)
There ain't no future in your frontin'

I never got caught with a kilo
And if you ever do, yo, it will never be with me, yo
Servin' in a Cherokee or maybe it's a GTO
Black-on-black Benzo, I get it at 
Never have to worry bout my posse gettin' jumped
Cause if we ever do, yo TB, pop the trunk
Cause we don't go for playin', when I play go grab a ball
When I'm on the mic I ain't for playin', not at all
Cause I clock 10 g's a week boomin' at my peak
Always seek E sober, but I do get geeked
I can give you a job, a place to eat hearty
Meet your homeboy Marty at a b.o.b. party
Takin' over, barkin' like a dog named Rover (woof!)
I'm pickin' suckers like a four-leaf clover
They're bitin' lyrics on the mic, I diss these cobras
So now they're sayin', ""Eric Breed is gettin' over""
There ain't no future in your frontin'
Ha-ha-ha
There ain't no future in your frontin'

I'm the B, the r to the double e-d and
Down with my homie G-a-s and O.E. and
Suckers causin' static, cause they still be disagreein'
I don't give a - cause I'm from F-l-i-n-t'n
A city where pity runs low
If you ever shoot through my city, now you know
Cause we are strictly business and we also got our pride
And if you don't like it, I suggest you break wide
Suckers steady lookin' for the m-o-n-e-y and
Thinkin' that illegal is the best way, so they dyin'
I ain't got time to see a fiend fiend out
To give up all his money, and he givin' what he got
That's the way I am, MC Breed cannot be different
Never change my ways for the world or the government
If I was the president, then I would state facts
You leave it up to me, I paint the white house black
It ain't no future in your frontin'
There ain't no future in your frontin'

Yeah, I got dollars in my pocket, not from rollin'
If I was a fiend, then my gold would be stolen
Put my name Breed on everything I own
And when I get my jeep I'm puttin' 'Breed' on the chrome
Shine it up good, kickin' through my neighborhood
Motorola phone, fat rims and a Kenwood
Quick to get around it, and then I'll have it drop
Simply cause I'm ridin' people think I'm sellin' rocks
But ain't no future in your frontin'
Yo Flash man, drop that, man
Won't you drop that
(Keep on)
(To the beat ch'all)

Cruel to the rules of the world
Live my life raw, cause I never liked the law
Wear top tens, on my ass use jeans
Sellin' big 8ths and tit-for-tat to the fiends
Clock much dollars, but I never break a sweat
Time to move out, my posse sayin' (bet)
You got my back, and I got yours
What time is it? Hm, Tear down the doors
Man
There ain't no future in your frontin'
Never was, cuz
There ain't no future in your frontin'
Hey man, let's start this party up, right?
(Beat y'all)
(Keep on)"
shake a lil' somethin'...,the 2 live crew,1996,1990,"If you are not already, please get drunk before listening to this song
Part 1

Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!

I need something to draw, need something to write on
I see electricity in the pylons
Look at it running the race, everything you doing erased
What it feel like? Hit with the mace
Tight pace that I'm keeping, got the reaper on me
Like you, what the hell would I be?
Without it, if you think it, shout it
Lost my mind, i think I found it, away
Live to fight, another bright day
I am God, so why would I pray?
You are God, above a white page
The creator, maker of rage
Painter paint the canvas, I ate the mantis
I saved the pandas, I hate they brand us
Can us like some Campbells
Jesus had no socks under his sandals
I can't ride a bike without the handles
I can't ride a scooter, have a tutor
Shoot the Buddha, eat some gouda
Say it ruder, tell who did I trample
Ramble on about some nonsense, I'm unconscious
I don't have cricket for a conscience
Kelp forest, where the magic conch is
Violent crucifying like I'm Pontius
Pilot flying high above Olympus
She's an angel, give that bitch a nimbus
Bengal tiger biting off your fingers
How am I supposed to eat these Pringles?
Image in your head is how I want it
Finish on the bed and lie upon it
Right on (Yuh, yuh)
Right on (Yuh, yuh)
Right on (Yuh, yuh)
Right on (Yuh, yuh)
Right on (Yuh, yuh)
Right on (Yuh, yuh)
On (Woah)
(Yuh, yuh)
Part 2

Lil Darkie
Just might give a fuck
Lil Darkie!
Just might give a fuck
Spider Gang

In the car, I'm moving fast
Foot up on the gas
Everything we tend to pass
Leave it in the past
I know what my momma asked
I just didn't answer
Got her foot up on the dash
She my tiny dancer
She my tiny dancer
Move it hula girl
Not a girl with cuter curls
I'ma stack these commas
We could be like the Obamas (Huh)
We could rule the world
Baby girl, just pick a country
Ain't worried bout no money
Ain't worried bout no-
-fast

Foot up on the gas
Everything we tend to pass
Leave it in the past
I know what my momma asked
I just didn't answer
Got her foot up on the dash
She my tiny dancer

Breakin-breaking down the gas
Don't want, smoke want cancer
You could-you could-you could ask
You can't get me canceled
Shake it-shake it-shake your ass
How it in your pants too?
How he do it?
You could ask
Grip this pen no pencil
Baby-baby-baby girl
Shake that ass for a nigga, I'll give you the world
Man, I love it how you bend your back and make it curl
Yeah, I put that necklace on yo' shit like pearls
Yeah, I cook that rock I stir it, make it twirl
Part 3

Yuh
I got a story for y'all (Yuh, yuh, yuh, yuh, yuh, I do, I do, I do)
But I gotta kinda build it up a little bit (Lil bit, lil bit, lil bit)
I've been having a lot of bad dreams lately (I have, I have, I have)
And no matter what the fuck I do they won't go away
(They won't, they won't, they won't)
So I'ma talk about the place in my brain that I think they stay

Look
I had a dream about that nigga there in that photo (Okay, okay)
I had a dream that I shot you and yo' niggas in that photo
And it ain't right, bad dreams clouding up my sight
Can't get any rest in the night
Why the hell when I close my eyes am I not surprised? Someone always dies
Why the hell when when I close my pupils someone you lose comes to life
There ain't shit to fight, there ain't shit to point at with the pipe
Somethin' in my mental isn't right
Maybe it's all the hatin' ass niggas talkin' to me every day
About how the fuck they got a problem with what I be doin'
Maybe it's this hatin' ass bitch tellin' Lil Darkie not to say
The n-word even though she ain't knew him
And I'm always talking about spreadin' love and positivity
So maybe it's a little hard for me to put that shit behind me, and say screw 'em
Or lawyer up and go sue 'em, what am I doin'?
It's hard for me to let go of the hate
Especially when I want you to do great
Especially when them fuckers stall my fate
And you distractin' me because you ain't
Wit' it now my brain say slit it, take yo' blood and paint wit' it
Do it 'till you faint, do it 'till you can't anymore
I'll do this 'till I can't anymore
Is that my blood, or the paint on the floor?
Is that my blood, or the paint on the floor
I'm just a person who's mental state
Tend to worsen now I'm cursin' on a track
Oh you wear a beanie? That jack is my night cap
I'm spittin' heavy you ain't ready insider you might crack
I knew a mother of one son, one daughter, liked crack
She was my friend, she got kicked out of her apartment
For bringing the children harm, and it's scarring
My brain alarmin', I saw it
Her husband drink until he barely was thinking
They like my music though (Oh, we love your music!)
I see you got them bodies but you ain't actin' a human though
How you let your kids see you separate then abuse 'em though?
Momma smokin' cigs on the corner and daddy boozin' mo'
Now that bitch a racist 'cause her husband is
Fuckin' wit' darker faces, ain't puttin' dick where her waist is
And she can't afford no braces to give her daughter some teeth
But she talking to one my friends
About how she would suck his dick if he drove her to ATM
So she the pullin' the money out and she spendin' it all on coke
Now she broker and want it back so she switchin' over to crack
I rap about whippin' rock but I never do that for real
'Cause it's funny just when you talk and it's not when you skippin' meals
And it's not when your skin, it peels
And it's, not when you makin' deals
And it's not when you got the cops taking children away it feels
Too close to home
Part 4

Tell us another one, Darkie...
I'll try
(No ad-libs)
Fuck
Yuh
Yeah, yeah
Uh

Back in high school, uh, I had this girl
She meant the world to a nigga, that's a pearl, that's a gem
In the end, she ended up wit' my friend
Now let me tell you how this steaming pile of bullshit began
Back in sophomore year, I couldn't drop more tears (Uh)
Because my last girl kicked me to the curb, not in the city in the 'burbs
I'm sittin' pretty with the birds, finally over that shit
Uh, will anybody love me? Pulling clovers I rip, them out
In PE I'm sittin' out, but she just wanna talk
She invite me to her crib after class, okay, why not?
I'm door knockin', but she took me inside, led me to her room
Uh, then she pulled off all my clothes without askin' me she assumed I was for it
I should have known right there, mission abort it
Ain't no relationship she want, she want dick and she looking for it
She said, ""Did you bring the condoms"" as if I had caused a problem
I'm lying naked on her bed feeling raped and fucked in the head
So she apologized, ""I'm just into taller guys""
She said that she was in the wrong, and I shouldn't tell anyone
So I forgave her, first mistake
It's hard to say it when you love someone that person fake
Mistook attention for true love and so we start to date
I'm with the bitch for two years and it's perfect, wait
It's senior year and she telling me she want smoke
And do drugs like the lean and coke
And she thinkin' that datin' me it prevent her from bein' free
I'm like ""Baby, what do you mean? I been giving you everything
I been living my life for you, I thought we were part of a team?""
And so she leave, and my homie tell me I'll be fine, and that he really feel me
Dealing poorly start to smoke a lot, now I'm a fucking greenie
Caught a case, so she definitely stay away, no free me
At lunch I see her wit' him and I know that he can see me
Hoe meet me at the bike racks, fight back
You bony piece of shit, you was my homie, I ain't know that it was like that
But that nigga might be the reason that I write raps
Hope my Indian fingers might put a divot in yo' white ass
Uh, bullied in middle school and bullied after I did time
Commit crimes, I ain't worried 'bout fuckin', I want that money and I lick minds
Bumpin' ScHoolboy Q, having some sick times
Sellin' weed, and you know you my nigga if you get big dimes
I was born from the darkness, once an innocent kid, spray paintin' where the park is
Don't go swimmin' where the shark is
(Well, I hope you enjoyed that story of my youth
Now it's time for this journey through my mind to come to an end
I hope you're ready)
Part 5

(Please keep all hands, arms, feet, and legs inside your thoughts at all times)

Troubled kid with the troubled mind, troubled kid with the troubled past
In the trouble I grew up fast, in the rubble I sit my ass down
I’ll smoke you like I smoke that grass, I broke him like I broke that glass, I dropped out ain't got no class
Had to cut off a lot of friends, had to cut off a lot of people
Cause lots of people round me were evil, cause lots of niggas were weak and feeble
Ommmmmm...
Thank God that I got out alive
My momma never lost faith in my mind

LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH
LET IT OUT
AAAAAAAAAH

When I was young
I used to play with Legos 'till the morning sun
I used to play with Legos now it's boring, son
No one would play with me, I’m the foreign one
He ain't had no butthole, so I tore him one
I didn't know what a country was now I'm touring one
All I wanna do is get on tracks, I was born to run
In the field I grip that stick, it's a hole in one
Why would you commit a crime with a stolen gun?
Rat-a-tat-tat, grip that gat, and push his hat back
Is yo momma proud of you now?
No she's not this much is true now

Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!
Right on!

As you go, remember this:
Where there is Yin, there is always Yang"
possession,sarah mclachlan,1994,1990,"Listen as the wind blows
From across the great divide
Voices trapped in yearning
Memories trapped in time
The night is my companion
And solitude my guide
Would I spend forever here
And not be satisfied

And I would be the one
To hold you down
Kiss you so hard
I'll take your breath away
And after I
Wipe away the tears
Just close your eyes dear

Through this world I stumble
So many times betrayed
Trying to find an honest word
To find the truth enslaved
Oh you speak to me in riddles
And you speak to me in rhymes
My body aches to breathe your breath
Your words keep me alive

And I would be the one
To hold you down
Kiss you so hard
I'll take your breath away
And after I
Wipe away the tears
Just close your eyes dear

Into this night I wander
It's morning that I dread
Another day of knowing of
The path I fear to tread
Oh into the sea of waking dreams
I follow without pride
It's nothing stands between us here
And I won't be denied

And I would be the one
To hold you down
Kiss you so hard
I'll take your breath away
And after I
Wipe away the tears
Just close your eyes dear
I hold you down
Kiss you so hard
I'll take your breath away
And after I
Wipe away the tears
Just close your eyes"
spark,tori amos,1998,1990,"She's addicted to nicotine patches
She's addicted to nicotine patches
She's afraid of the light in the dark
6:58 are you sure where my spark is?
Here, here, here

She's convinced she could hold back a glacier
(Between cotton balls and xylophones)
But she couldn't keep baby alive
(I'm getting old)
Doubting if there's a woman in there somewhere
Here, here, here

You say you don't want it, again and again
But you don't, don't really mean it
You say you don't want it, the circus we're in
But you don't, don't really mean it
You don't, don't really mean it

If the divine master's plan is perfection
(Swing low)
Maybe next I'll give Judas a try
(Swing low, sweet chariot)
Trusting my soul to the ice cream assassin
Here, here, here
You say you don't want it, again and again
But you don't, don't really mean it
You say you don't want it, the circus we're in
But you don't, don't really mean it
You don't, don't really mean it

How many fates turn around in the overtime?
Ballerinas that have fins that you'll never find
You thought that you were the bomb, yes, well so did I
Say you don't want it, say you don't want it
How many fates turn around in the overtime?
Ballerinas that have fins that you'll never find
You thought that you were the bomb, yes, well so did I
Say you don't want it, say you don't want it

Say you don't want it, again and again
But you don't, don't really mean it
You say you don't want it, the circus we're in
But you don't, don't really mean it
You don't, don't really mean it

She's addicted to nicotine patches
She's afraid of the light in the dark
6:58 are you sure where my spark is?
Here, here, here"
sweet thing,keith urban,2009,2000,"When I picked you up for our first date baby
Well, your pretty blue eyes, they were driving' me crazy
And the tiny little thought that was so amazing
Is they were looking at me
I held open the car door for you then you climbed
Inside and slid on over
To the other side.. I thought my, oh my

Sweet thing
The moon is high and the night is young
Come on and meet me
In the backyard under the cottonwood tree
It's a good thing and I'm wishing
C'mon sweet thing
Won't you climb on out of your window
While the world is sleeping
Cause you know I need you
And there's no way I'll be leaving
Till we're kissing on the porch swing
Oh my little sweet thing

Yeah I know I'm gonna see you first thing tomorrow
But I just couldn't wait so I had to borrow
Uncle Jake's mustang, its his favorite car
And so I can't stay long..
Standing here feeling like a love struck Romeo
All I wanna do is hold you close and steal a little
More time, is that such a crime?
Sweet thing
The moon is high and the night is young
Come on and meet me
In the backyard under the cottonwood tree
It's a good thing and I'm wishing
C'mon sweet thing
Won't you climb on out of your window
While the world is sleeping
Cause you know I need you
And there's no way I'll be leaving
Till we're kissing on the porch swing
Oh my little sweet thing

Sweet thing, sweet thing

Sweet thing
The moon is high and the night is young
Come on and meet me
In the backyard under the cottonwood tree
It's a good thing and I'm wishing
C'mon sweet thing
Won't you climb on out of your window
While the world is sleeping
Cause you know I need you
And there's no way I'll be leaving
Till we're kissing on the porch swing
Oh my little sweet thing
Oh come-on sweet thing, sweet thing, sweet thing

Yeah, come-on now a little now..
Do do do do do do do do do do do
Oh my little sweet thing, yes you are
Do do do do do do do do do do do"
baby sitter,dababy ,2019,2010,"You know I ain't come to play, let’s get it (Turn me up)
I'm snappin' off the rip, your ho say I’m her favorite nigga (Hah)
You probably don't wan' let your baby mama take a picture (Why? Go Grizz)
'Cause I'm the type of Baby that's gon' fuck the babysitter (Marii Beatz, turn me up)
I just did a show and pulled off laughin' on a hatin’ nigga (Hah)
Them bitches aimin’ at y'all fast, I’m on these rapper niggas' ass
I pulled that .40 out, he better have an angel with him (Ah)

You tryna book me for a show, you gotta pay me 'fore I go
We feed the family, I ain't got no time to play with niggas (Ayy, what you see?)
I see these niggas think they tough, you play with me, you know it’s up
You think it's sweet then call my bluff and I'ma spank a nigga (Yeah, yeah)
Fuck all them niggas and whoever they got hangin' with 'em, bitch
I'ma die of old age whenever I die (What we gon' do?)
Walk down on that nigga, fuck a drive-by (Yeah)
His bitch came in with me but she ain't mine, mine (She not mine)
Free my cousin 'til he free, he doin' time time (Let him free)
I'm the motherfuckin' best but I'm not Khaled (Ayy, we the best)
She like how I be dressin', ain't no salad (Uh-huh)
Can't fuck with her, she messy, that's a hazard (Oh no)
Tell the ref to blow the whistle, that bitch traveled (Brrt)
Fuck all that talkin', we 'bout action (What we 'bout?)
You got a son, you play with me, your son a bastard (Haha)
That nigga trippin', why he laughin'?
Nah, that's fucked up, bro, you ain't have to goddamn bring the kids into it
You know I ain't come to play, let's get it (Turn me up)
I'm snappin' off the rip, your ho say I'm her favorite nigga (Hah)
You probably don't wan' let your baby mama take a picture (Why? Go Grizz)
'Cause I'm the type of Baby that's gon' fuck the babysitter (Marii Beatz, turn me up)
I just did a show and pulled off laughin' on a hatin' nigga (Hah)
Them bitches aimin' at y'all fast, I'm on these rapper niggas' ass
I pulled that .40 out, he better have an angel with him (Hey, hey, hey, hey)
Fuck all them niggas and whoever they got hangin' with 'em, bitch

Shawty wanna be famous, don't it? (Who?)
Say that she want a Patek with her name up on it (Patek, Patek)
You gotta fuck on an opp and get 'em painted, earn it (Stripes, woo)
I'm drippin', not slippin', my socks got Gucci Gang up on 'em (Drippin', I'm drippin')
Squeeze the fire, make 'em back, back, back, back (Baow)
She got fleas, shoo fly, she's a nat, nat, nat, nat (Nat)
I'm on lean, I get high, she on batch, I can't match (Nah)
I got fiends in a line, shippin' the packs out the back
I did the impossible (Hoo)
I read the defense, then I had called an audible (Switch)
Look like a sequence, Lambo' keep back to back crawlin' in (Skrrt)
They said I wouldn't be shit, so fuck it, I had to go hard again (Fuck it)
300, Sparta man (Sparta)
I'm a barbarian (Barbarian), I'ma get my revenge (Mine)
Fuck on a thot and not at the spot, don't tell her what car I'm in (No)
Keepin' my head above the water just like a shark fin (Shark)
We got the narcs in (Narcs), chopper Clark Kent (Graow)
Don't get boxed in (Hey)
You know I ain't come to play, let's get it (Turn me up)
I'm snappin' off the rip, your ho say I'm her favorite nigga (Hah)
You probably don't wan' let your baby mama take a picture (Why? Go Grizz)
'Cause I'm the type of Baby that's gon' fuck the babysitter (Marii Beatz, turn me up)
I just did a show and pulled off laughin' on a hatin' nigga (Hah)
Them bitches aimin' at y'all fast, I'm on these rapper niggas' ass
I pulled that .40 out, he better have an angel with him
Fuck all them niggas and whoever they got hangin' with 'em, bitch"
perfect combination,stacy lattisaw ,1984,1980,"Two hearts together
We're a harmony so right
Two sparks united
We're a fire burning bright
For that you're always brand new
Right from the jump we had a hunch
That we had everything
Perfect combination
Lovers you and me
A perfect combination
We couldn't ask for any better
Perfect combination
We fit to a tee
A perfect combination
We know what takes to last forever
Together
So deep
Inside we share a feeling that's so rare
So sweet
Just knowing that we are a special pair
We're right on time
We're two of a kind
And heaven knows this love will grow
Stronger every day
Perfect combination
Lovers you and me
Perfect combination
We couldn't ask for any better
Perfect combination
We fit to a tee
A perfect combination
We know what takes to last forever
Together
We can conquer any mountain
(Oh, baby)
Just as long as we're together
(Oh, oh)
'Cause as one we are an endless fountain
Overflowing with love
(Hey, hey)
Perfect love
(Hey, hey, hey, hey, hey)
Perfect combination
(Ooh, baby, hey)
Lovers you and me
(Oh, oh, oh)
A perfect combination
(Hey)
We couldn't ask for any better
(Oh, oh, oh)
Oh, no
Perfect combination
We fit to a tee
A perfect combination
We know what takes to last forever
Oh, oh
Perfect combination
(Perfect, perfect, yeah, combination)
Lovers you and me
(Lovers you and me, yeah)
A perfect combination
We couldn't ask for any better
(Hey, hey, hey)
No, no
Baby, yeah
(Yeah)
Ooh...
(You and me, yes, just you and me, yeah... )
Baby
Perfect combination
Lovers you and me
A perfect combination
We couldn't ask for any better"
right here,staind,2005,2000,"I know I've been mistaken
But just give me a break and see the changes that I've made
I've got some imperfections
But how could you collect them all and throw them in my face?

But you always find a way
To keep me right here waiting
You always find the words to say
To keep me right here waiting
And if you chose to walk away
I'd still be right here waiting
Searching for the things to say
To keep you right here waiting

I hope you're not intending
To be so condescending, it's as much as I can take
But you're so independent
You just refuse to bend so I keep bending 'til I break

But you always find a way
To keep me right here waiting
You always find the words to say
To keep me right here waiting
If you chose to walk away
I'd still be right here waiting
Searching for the things to say
To keep you right here waiting
I've made a commitment
I'm willing to bleed for you
I needed fulfillment
I found what I need in you
Why can't you just forgive me?
I don't want to relive all the mistakes I've made
Along the way
But I always find a way
To keep you right here waiting
I always find the words to say
To keep you right here waiting

But you always find a way
To keep me right here waiting
You always find the words to say
To keep me right here waiting
And if I chose to walk away
Would you be right here waiting?
Searching for the things to say
To keep me right here waiting"
dance for you,beyonce,2012,2010,"I just wanna show you how much I appreciate you, yes
Wanna show you how much I'm dedicated to you, yes
Wanna show you how much I will forever be true, yes
Wanna show you how much you got your girl feeling good, yes
Wanna show you how much, how much you understood, yes
Wanna show you how much I value what you say
Not only are you loyal, you're patient with me babe, yes
Wanna show you how much I really care about your heart
Wanna show you how much I hate being apart, yes
Wanna show you show you show you till you through with me
I wanna keep it how it is but you can never say how it used to be!

Loving you is really all that's on my mind
And I can't help but to think about it day and night
I wanna make that body rock
Sit back and watch!

Tonight I'm gonna dance for you, oh
Tonight I'm gonna dance for you, oh
Tonight I'm gonna put my body on your body
Boy, I like it when you watch me, ah
Tonight it's going down
I'll be rocking on my babe, rocking, rocking on my babe
Swirling on my babe, swirling, swirling on my babe
Baby, let me put my body on your body
Promise not to tell nobody
'Cause it's about to go down
You'll never need two 'cause I will be your number one
Them other chicks are superficial
But I know you know I'm the one
That's why I'm all into you
'Cause I can recognize that you know that
That's why I'm backing this thing back
Pop-popping this thing back
Drop, drop, drop-dropping this thing back
This is for the time you gave me flowers
For the world that is ours
For the mula, for the power of love
And no I won't never ever e-ever give you up
And I wanna say thank you in case I don't thank you enough
A woman in the street and a freak in the you know what
Sit back, sit back, it's the pre-game show
Daddy, you know what's up

Loving you is really all that's on my mind
And I can't help but to think about it day and night
I wanna make that body rock
Sit back and watch

Tonight I'm gonna dance for you, oh
Tonight I'm gonna dance for you, oh
Tonight I'm gonna put my body on your body
Boy, I like it when you watch me, ah
Tonight it's going down
I'll be rocking on my babe, rocking, rocking on my babe
I'll be swirling on my babe, swirling, swirling on you, babe
I wanna put my body on your body
Promise not to tell nobody
'Cause it's about to go down
I'm a take this time to show you how much you mean to me
'Cause you are all I need
No money can emphasize
Or describe
The love that's in-between the lines
Boy look into my eyes
While I'm grinding on you
This is beyond sex
I'm high on you
If it's real then you know how I feel
Rocking on you, babe, rocking, rocking on you, babe
Swirling on you, babe
In my mind all I can think about is a frame for our future
And the pictures of the past and a chance to make this love last

Tonight I'm gonna dance for you, oh
Tonight I'm gonna dance for you, oh
Tonight I'm gonna put my body on your body
Boy I like it when you watch me, ah
Tonight it's going down
I'll be rocking on my babe, rocking, rocking on my babe
I'll be swirling on my babe, swirling, swirling on my babe
I wanna put my body on your body
Promise not to tell nobody
'Cause it's about to go down
Watch me p-pop it, p-pop it for you, baby
Drop it, drop it, drop it, drop it for you, baby
Watch it, watch it, watch it, watch me roll it, baby
Wanna make that body rock
Sit back and watch me
Watch me p-pop it, p-pop it for you, baby
Drop it, drop it, drop it, drop it for you, baby
Watch it, watch it, watch it, watch me roll it, baby
Wanna make that body rock
Sit back and watch me"
all i want,susanna hoffs,1997,1990,"Can't ignore or hide away
Can't escape from the things that line our way
Take it, leave it, break it
Anyway, you can't get back to yesterday
All I want, all I wanna do
You better listen from now on
Stop what's going on
Stop what's going wrong
You better listen from now on
Confidence, coincidence, call it a sin
It's just like people say
Tomorrow's here so open up your eyes
And never hesitate
All I want, all I wanna do
Is make you listen from now on
Sleeping in the dark, dreaming of the stars
Keep one to wish on from now on
It makes me want to give you everything
Pick you up and take you home again
Hold you tight and think that now is then
All I wanna do, all I wanna do
You better listen from now on
Open arms or crying eyes
Say hello or wave goodbye
Which one are you thinking of?
All I want, all I wanna do
Is make you listen from now on
Stop what's going on
Stop what's going wrong
From now on
It's all I wanna do, all I wanna say
You better listen from now on
Sleeping in the dark, dreaming of the stars
Keep one to wish on from now on
All I want do, all I want to say
Is everything I feel from now on"
one more try,divine,1999,1990,"I've had enough of danger
And people on the streets
I'm looking out for angels
Just trying to find some peace
Now I think it is time
That you let me know
So if you love me
Say that you love me
But if you don't
Just let me go
Chorus:
'Cuz teacher
There are things that I don't want to learn
And the last one I had made me cry so I
Don't want to hold you, touch you
Don't think that you're mine
Because it ain't no
World for an uptown girl whose teacher has told
Her goodbye, goodbye, goodbye
When you were just a stranger
And I was at you feet
I didn't feel the danger
Now I feel the heat
That look in your eyes
Telling me no
So you think that you love me
Know that you need me
I wrote the song, I know it's wrong
Just let me go
(chorus)
So when you say that you need me
That you'll never leave me
I know you're wrong, you're not that strong
Let me go
And teacher
There are things that I don't want to learn
And the last one I had made me cry so I
Don't want to learn to hold you, touch you
Think that you're mine because it ain't no
World for an uptown girl
Who just isn't willing to try
I'm so cold inside
Maybe just one more try"
dame tu cosita,pitbull x el chombo x karol g ,2018,2010,"Hah, bienvenidos a la cripta Mister Worldwide Todas las mujeres con las manos p arriba Todas las mujeres con las manos p arriba Boricua, colombiana, cubana, dominicana, venezolana Panameña, mexicana, blanquita, morena, canela, candela Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah Dame tu cosita, ah, baby, give it to me Whippin  this on casa campo, yo soy el diablo, Romeo el santo Mister 305, Mister Worldwide All my business partners they call me Armando (Armando) Vamos pa  Caleta, es la grasa, bailando, gozando, acabando Beauty schools around the world Then if you got a question, ask Fernando Dale mamita, tú  tá rica, dame tu cosita, mmm Dale loquita, tú  tá rica, dame tu cosita, mmm Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah Dame tu cosita, ah, give it to me Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah (Múevete para aquí, muévete para allá) Cosita ¡Ay! Cosita Me mira y me dice:  qué rico, qué linda , que me mueva Y que la baile solo a él en la pista Que el Dj le de play a los cuentos de la penca Que ahora el Chombo dicen:  dame tu cosita  Llegaron los latinos, los griegos, los chinos Caribeños, africanos y de Estados Unidos To  el mundo anda pega o bailando este remix Karol G obviamente se pegó (¡ay!) Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay!, give it to me Cosita ¡Ay! Cosita If you get money, put your hands to the sky A ella le gusta dinero, dinero Dale más dinero A ella le gusta dinero, dinero Dale más dinero Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay!, give it to me Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah (Muévete para aquí, muévete para allá) Dame tu cosita Ah, cosita (¡ay!) Dame tu cosita Ah, cosita (give it to me) Dame tu cosita, ah, ah Dame tu cosita, ah, ¡ay! Dame tu cosita, ah, ah Dame tu cosita"
